name,path,type,size,parent
task02,C:\Users\malgu\Desktop\DeepPython\homework8\task02,directory,676,homework8
task03,C:\Users\malgu\Desktop\DeepPython\homework8\task03,directory,281,homework8
task04,C:\Users\malgu\Desktop\DeepPython\homework8\task04,directory,106,homework8
task05,C:\Users\malgu\Desktop\DeepPython\homework8\task05,directory,400,homework8
dir_info.csv,C:\Users\malgu\Desktop\DeepPython\homework8\dir_info.csv,file,28,homework8
dir_info.json,C:\Users\malgu\Desktop\DeepPython\homework8\dir_info.json,file,2,homework8
dir_info.pickle,C:\Users\malgu\Desktop\DeepPython\homework8\dir_info.pickle,file,5,homework8
task01.py,C:\Users\malgu\Desktop\DeepPython\homework8\task01.py,file,2788,homework8
employees1.json,C:\Users\malgu\Desktop\DeepPython\homework8\task02\employees1.json,file,277,task02
employees2.json,C:\Users\malgu\Desktop\DeepPython\homework8\task02\employees2.json,file,260,task02
employees3.json,C:\Users\malgu\Desktop\DeepPython\homework8\task02\employees3.json,file,139,task02
products.json,C:\Users\malgu\Desktop\DeepPython\homework8\task03\products.json,file,281,task03
sales.csv,C:\Users\malgu\Desktop\DeepPython\homework8\task04\sales.csv,file,106,task04
students.json,C:\Users\malgu\Desktop\DeepPython\homework8\task05\students.json,file,400,task05
